blanck;country_name;country_id;country_region;country_subregion;country_google_gl;country_google_hl
blanck;United States;9;Americas;Northern America;us;en
blanck;Brazil;1;Americas;South America;br;pt
blanck;Canada;2;Americas;Northern America;ca;en
blanck;Germany;4;Europe;Western Europe;de;de
blanck;Portugal;6;Europe;Southern Europe;pt;pt
blanck;United Kingdom;8;Europe;Northern Europe;gb;en
blanck;France;3;Europe;Western Europe;fr;fr
blanck;Ireland;5;Europe;Northern Europe;uk;en
