city_id;city_name;city_latitude;city_longitude;country_id;state_id
000126;Vila Velha;-20.3368375;-40.2919277;001;000008
000127;Cariacica;-20.2660041;-40.4217957;001;000008
000128;Vitória;-20.318889;-40.337778;001;000008
000129;Cachoeiro de Itapemirim;-20.84889;-41.11278;001;000008
000130;Linhares;-19.3730328;-40.054684;001;000008
000131;Goiânia;-16.6805153;-49.2561268;001;000009
000132;Aparecida de Goiânia;-16.822778;-49.225556;001;000009
000133;Anápolis;-16.3274006;-48.953322;001;000009
000134;Rio Verde;-17.790278;-50.918333;001;000009
000135;Luziânia;-16.2582454;-47.9352391;001;000009
000136;Águas Lindas de Goiás;-15.754444;-48.281944;001;000009
000137;Valparaíso de Goiás;-16.068611;-47.976389;001;000009
000138;São Luís;-2.529451;-44.296947;001;000010
000139;Imperatriz;-5.533333;-47.483333;001;000010
000140;São José de Ribamar;-2.5631672;-44.0558076;001;000010
000141;Timon;-5.0936585;-42.8358643;001;000010
000142;Caxias;-4.8623506;-43.3637215;001;000010
000143;Cuiabá;-15.5951004;-56.0922649;001;000011
000144;Várzea Grande;-15.65;-56.133333;001;000011
000145;Rondonópolis;-16.466667;-54.633333;001;000011
000146;Campo Grande;-20.462222;-54.611111;001;000012
000147;Dourados;-22.220833;-54.805833;001;000012
000148;Belo Horizonte;-19.9181771;-43.9370534;001;000013
000149;Uberlândia;-18.923056;-48.288611;001;000013
000150;Contagem;-19.931944;-44.053889;001;000013
000151;Juiz de Fora;-21.761944;-43.349444;001;000013
000152;Betim;-19.967279;-44.198692;001;000013
000153;Montes Claros;-16.73688;-43.8653725;001;000013
000154;Ribeirão das Neves;-19.766944;-44.086944;001;000013
000155;Uberaba;-19.7500327;-47.9319445;001;000013
000156;Governador Valadares;-18.85;-41.933333;001;000013
000157;Ipatinga;-19.5;-42.533333;001;000013
000158;Sete Lagoas;-19.465833;-44.246944;001;000013
000159;Divinópolis;-20.1393735;-44.8869936;001;000013
000160;Santa Luzia;-19.77;-43.850556;001;000013
000161;Ibirité;-20.02194;-44.05889;001;000013
000162;Poços de Caldas;-21.7884221;-46.5627235;001;000013
000163;Patos de Minas;-18.5792498;-46.5185883;001;000013
000164;Pouso Alegre;-22.228056;-45.933611;001;000013
000165;Belém;-1.455833;-48.503889;001;000014
000166;Ananindeua;-1.366392;-48.3722058;001;000014
000167;Santarém;-2.43;-54.72;001;000014
000168;Marabá;-5.35;-49.116667;001;000014
000169;Castanhal;-1.296944;-47.921944;001;000014
000170;Parauapebas;-6.067778;-49.901944;001;000014
000171;Abaetetuba;-1.725092;-48.8899404;001;000014
000172;João Pessoa;-6.2602045;-38.4435417;001;000015
000173;Campina Grande;-7.2309499;-35.8818939;001;000015
000174;Curitiba;-25.4283563;-49.2732515;001;000016
000175;Londrina;-23.31;-51.162778;001;000016
000176;Maringá;-23.4273197;-51.9369606;001;000016
000177;Ponta Grossa;-25.099444;-50.158333;001;000016
000178;Cascavel;-24.9585109;-53.4579483;001;000016
000179;São José dos Pinhais;-25.5326509;-49.0889425;001;000016
000180;Foz do Iguaçu;-25.546897;-54.588171;001;000016
000181;Colombo;-25.2928657;-49.2234755;007;000016
000182;Guarapuava;-25.383333;-51.45;001;000016
000183;Paranaguá;-25.520833;-48.509444;001;000016
000184;Recife;-8.0551894;-34.871176;001;000017
000185;Jaboatão dos Guararapes;-8.112222;-35.01603;001;000017
000186;Olinda;-8;-34.883333;001;000017
000187;Caruaru;-8.282778;-35.975833;001;000017
000188;Petrolina;-9.3791814;-40.512396;001;000017
000189;Paulista;-7.940833;-34.872778;001;000017
000190;Cabo de Santo Agostinho;-8.287369;-35.035105;001;000017
000191;Camaragibe;-8.0251962;-34.9813798;001;000017
000192;Teresina;-5.0879258;-42.8009765;001;000018
000193;Parnaíba;-2.9034964;-41.7753984;001;000018
000194;Rio de Janeiro;-22.9014475;-43.1789159;001;000019
000195;São Gonçalo;-22.826944;-43.053889;001;000019
000196;Duque de Caxias;-22.785948;-43.3131828;001;000019
000197;Nova Iguaçu;-22.7597835;-43.45151;001;000019
000198;Niterói;-22.8898227;-43.1220775;001;000019
000199;Campos dos Goytacazes;-21.7545269;-41.3246064;001;000019
